registered_image_count,newest_image_id,total_3d_points,global_mean_px,global_median_px,point_mean_px,point_median_px
3,18,1412,0.2576,0.1774,0.2575,0.1772
4,17,1800,0.4854,0.2199,0.4863,0.2206
5,16,2181,0.6734,0.2612,0.6739,0.2623
6,15,2299,0.7268,0.2829,0.7272,0.2858
7,14,2785,0.9517,0.3859,0.9525,0.3883
8,13,3030,0.9937,0.4571,0.9945,0.4651
9,12,3156,1.0276,0.4864,1.0282,0.4918
10,11,3441,1.1124,0.5648,1.1127,0.5654
11,10,4370,1.1373,0.7451,1.1373,0.7462
12,9,4907,1.1895,0.8092,1.1894,0.8116
13,8,5314,1.2394,0.8813,1.2394,0.8813
14,7,5914,1.3224,1.0134,1.3230,1.0158
15,6,6658,1.3516,1.0655,1.3520,1.0685
16,5,7232,1.3953,1.1378,1.3957,1.1466
17,4,7564,1.4197,1.1819,1.4199,1.1836
18,3,8047,1.4192,1.1873,1.4192,1.1872
19,0,8865,1.4194,1.1819,1.4193,1.1842
