registered_image_count,newest_image_id,total_3d_points,global_mean_px,global_median_px,point_mean_px,point_median_px
3,18,1412,0.2576,0.1774,0.2575,0.1772
4,17,1800,0.4919,0.2173,0.4929,0.2195
5,16,2190,0.6877,0.2669,0.6883,0.2621
6,15,2322,0.7318,0.2914,0.7323,0.2833
7,14,2394,0.7472,0.3032,0.7476,0.2914
8,13,2535,0.8140,0.3380,0.8147,0.3437
9,12,2596,0.8345,0.3497,0.8350,0.3547
10,11,2635,0.8495,0.3578,0.8500,0.3666
11,10,2975,0.9393,0.4259,0.9395,0.4374
12,9,3454,1.0566,0.5271,1.0565,0.5454
13,8,3719,1.1242,0.6012,1.1243,0.6112
14,7,4282,1.2451,0.7297,1.2450,0.7511
15,6,4619,1.3205,0.8588,1.3203,0.8922
16,5,4938,1.3498,0.9493,1.3495,0.9672
17,4,5335,1.3840,1.0231,1.3837,1.0236
18,3,5747,1.4022,1.0722,1.4019,1.0609
19,0,6560,1.3913,1.0685,1.3907,1.0582
