registered_image_count,newest_image_id,total_3d_points,global_mean_px,global_median_px,point_mean_px,point_median_px
3,82,2058,0.1114,0.0744,0.1115,0.0745
4,81,2250,0.1491,0.0776,0.1497,0.0776
5,80,2335,0.1705,0.0802,0.1710,0.0806
6,79,2942,0.4202,0.1019,0.4205,0.1019
7,78,3370,0.5292,0.1188,0.5293,0.1192
8,77,3811,0.6377,0.1412,0.6383,0.1419
9,76,4055,0.6937,0.1589,0.6942,0.1593
10,75,4154,0.7178,0.1676,0.7182,0.1683
11,74,5122,0.7091,0.2254,0.7098,0.2249
12,73,6665,0.6659,0.2403,0.6668,0.2408
13,72,8016,0.6386,0.2333,0.6397,0.2341
14,71,9445,0.5940,0.2105,0.5949,0.2109
15,68,10813,0.6030,0.2261,0.6040,0.2261
16,67,12398,0.6329,0.2606,0.6341,0.2610
17,66,13712,0.6267,0.2568,0.6279,0.2571
18,65,15212,0.6122,0.2565,0.6134,0.2570
19,64,16447,0.6191,0.2640,0.6205,0.2650
20,63,18014,0.6297,0.2741,0.6311,0.2749
21,62,19354,0.6324,0.2873,0.6337,0.2877
22,61,19963,0.6397,0.2937,0.6410,0.2946
23,60,21915,0.6563,0.3005,0.6575,0.3008
24,59,23319,0.6668,0.3059,0.6680,0.3070
25,58,23863,0.6707,0.3070,0.6718,0.3080
26,57,25503,0.6992,0.3305,0.7004,0.3313
27,56,26700,0.7153,0.3431,0.7164,0.3437
28,55,28099,0.7410,0.3617,0.7419,0.3626
29,54,29249,0.7540,0.3747,0.7550,0.3756
30,53,29563,0.7644,0.3804,0.7653,0.3815
31,52,30694,0.7958,0.3988,0.7968,0.3993
32,51,31278,0.8118,0.4075,0.8127,0.4084
33,50,32598,0.8365,0.4269,0.8373,0.4277
34,49,34080,0.8530,0.4462,0.8538,0.4465
35,48,34700,0.8652,0.4549,0.8660,0.4558
36,47,35276,0.8771,0.4640,0.8778,0.4654
37,46,37075,0.8908,0.4793,0.8915,0.4801
38,45,38021,0.9023,0.4915,0.9029,0.4918
39,44,38486,0.9106,0.4987,0.9112,0.4989
40,43,38888,0.9161,0.5037,0.9167,0.5046
41,42,39056,0.9200,0.5061,0.9206,0.5071
42,41,39611,0.9284,0.5132,0.9290,0.5136
43,40,40836,0.9462,0.5294,0.9467,0.5303
44,39,41582,0.9620,0.5411,0.9625,0.5411
45,38,41812,0.9675,0.5442,0.9680,0.5449
46,37,43383,0.9939,0.5667,0.9943,0.5671
47,36,44788,1.0167,0.5891,1.0170,0.5896
48,35,45718,1.0347,0.6053,1.0350,0.6063
49,34,47201,1.0589,0.6318,1.0592,0.6327
50,33,47735,1.0685,0.6417,1.0687,0.6426
51,32,48006,1.0727,0.6467,1.0730,0.6468
51,31,48006,1.0727,0.6467,1.0730,0.6468
