image_id,total_3d_points_observed,triplet_shared_points
69,3217,3217
70,3210,3210
82,708,708
81,839,839
80,651,651
79,854,854
78,756,756
77,1317,1317
76,1197,1197
75,1036,1036
74,2500,2500
73,2596,2596
72,2430,2430
71,2231,2231
68,2490,2490
67,2680,2680
66,2537,2537
65,2546,2546
64,2654,2654
63,2705,2705
62,2009,2009
61,2194,2194
60,2510,2510
59,2125,2125
58,1915,1915
57,2050,2050
56,1934,1934
55,2392,2392
54,2258,2258
53,1593,1593
52,2297,2297
51,1996,1996
50,2559,2559
49,2483,2483
48,2545,2545
47,2231,2231
46,1940,1940
45,2302,2302
44,2089,2089
43,2173,2173
42,2348,2348
41,1923,1923
40,1499,1499
39,1140,1140
38,988,988
37,926,926
