registered_image_count,newest_image_id,total_3d_points,global_mean_px,global_median_px,point_mean_px,point_median_px
3,82,2058,0.1114,0.0744,0.1115,0.0745
4,81,2250,0.2447,0.1811,0.2457,0.2019
5,80,2335,0.2623,0.1836,0.2633,0.2026
6,79,2945,0.4888,0.2213,0.4893,0.2179
7,78,3351,0.5730,0.2497,0.5733,0.2301
8,77,3819,0.6594,0.2851,0.6598,0.2470
9,76,4207,0.7514,0.3174,0.7519,0.2687
10,75,4391,0.7864,0.3329,0.7868,0.2752
11,74,5348,0.7927,0.3613,0.7929,0.2946
12,73,6869,0.7392,0.3464,0.7398,0.3032
13,72,8282,0.6970,0.3169,0.6979,0.2890
14,71,9407,0.6785,0.3156,0.6794,0.2909
15,68,10839,0.6708,0.3153,0.6717,0.2931
16,67,12471,0.6512,0.3149,0.6521,0.2912
17,66,13746,0.6279,0.2957,0.6289,0.2796
18,65,15313,0.6148,0.2859,0.6158,0.2740
19,64,16540,0.6106,0.2782,0.6118,0.2691
20,63,18122,0.6166,0.2911,0.6178,0.2790
21,62,19107,0.6262,0.2972,0.6276,0.2833
22,61,20331,0.6297,0.2996,0.6311,0.2859
23,60,22146,0.6477,0.3162,0.6491,0.3002
24,59,23508,0.6698,0.3383,0.6712,0.3156
25,58,24360,0.6764,0.3438,0.6777,0.3201
26,57,25757,0.7034,0.3615,0.7047,0.3371
27,56,27076,0.7251,0.3753,0.7262,0.3521
28,55,28198,0.7504,0.3955,0.7515,0.3796
29,54,29552,0.7683,0.4048,0.7693,0.3907
30,53,30813,0.7792,0.4102,0.7802,0.3974
31,52,32084,0.8015,0.4288,0.8024,0.4190
32,51,33402,0.8305,0.4517,0.8314,0.4414
33,50,34505,0.8610,0.4726,0.8618,0.4631
34,49,35224,0.8786,0.4830,0.8794,0.4728
35,48,35865,0.8981,0.4934,0.8989,0.4834
36,47,36564,0.9162,0.5063,0.9168,0.4983
37,46,37529,0.9380,0.5240,0.9386,0.5168
38,45,38935,0.9577,0.5400,0.9582,0.5353
39,44,39549,0.9628,0.5489,0.9633,0.5437
40,43,40107,0.9833,0.5600,0.9838,0.5680
41,42,41806,1.0055,0.5809,1.0060,0.5906
42,41,42983,1.0203,0.5984,1.0207,0.6109
43,40,44483,1.0398,0.6200,1.0402,0.6345
44,39,45647,1.0549,0.6376,1.0552,0.6535
45,38,46542,1.0757,0.6556,1.0760,0.6725
46,37,47060,1.0842,0.6635,1.0845,0.6812
47,36,47744,1.0970,0.6755,1.0973,0.6923
48,35,48597,1.1106,0.6898,1.1110,0.7086
49,34,49898,1.1251,0.7087,1.1254,0.7271
50,33,51078,1.1387,0.7239,1.1390,0.7412
50,32,51078,1.1387,0.7239,1.1390,0.7412
