image_id,total_3d_points_observed,triplet_shared_points
69,3334,3334
70,3247,3247
82,559,559
81,728,728
80,678,678
79,793,793
78,791,791
77,797,797
76,484,484
75,313,313
74,2665,2665
73,2765,2765
72,2348,2348
71,2074,2074
68,2865,2865
67,2917,2917
66,2749,2749
65,2803,2803
64,2891,2891
63,2932,2932
62,2492,2492
61,2608,2608
60,2676,2676
59,2374,2374
58,2298,2298
57,2503,2503
56,2538,2538
55,2631,2631
54,2680,2680
53,2530,2530
52,2614,2614
51,2416,2416
50,2057,2057
49,1535,1535
48,2035,2035
47,1071,1071
46,2324,2324
45,2164,2164
44,2053,2053
43,2149,2149
42,2723,2723
41,2336,2336
40,2141,2141
39,1732,1732
38,1604,1604
37,937,937
36,1822,1822
35,1523,1523
34,1416,1416
33,1180,1180
