registered_image_count,newest_image_id,total_3d_points,global_mean_px,global_median_px,point_mean_px,point_median_px
3,82,647,0.1274,0.0536,0.1275,0.0543
4,81,1110,1.0669,1.0870,1.0673,0.6876
5,80,1264,1.4457,1.1920,1.4451,1.2058
6,79,1976,1.4137,1.1825,1.4128,1.1432
7,78,2531,1.3331,1.1224,1.3323,1.0845
8,77,4795,1.1281,0.9313,1.1281,0.9883
9,76,6315,0.9160,0.7118,0.9163,0.7211
10,75,7126,0.8549,0.6127,0.8553,0.6860
11,74,8839,0.8408,0.5975,0.8419,0.6778
12,73,10546,0.8052,0.5400,0.8065,0.6126
13,72,11970,0.7808,0.5134,0.7819,0.5616
14,71,12980,0.7528,0.4929,0.7538,0.5431
15,68,14871,0.7125,0.4516,0.7135,0.5032
16,67,16590,0.6942,0.4296,0.6954,0.4780
17,66,17871,0.6806,0.4190,0.6820,0.4621
18,65,19514,0.6633,0.3942,0.6647,0.4350
19,64,20958,0.6538,0.3783,0.6552,0.4154
20,63,22395,0.6382,0.3630,0.6395,0.3968
21,62,23598,0.6378,0.3653,0.6391,0.3967
22,61,24593,0.6349,0.3609,0.6362,0.3891
23,60,26792,0.6469,0.3680,0.6482,0.3938
24,59,28389,0.6594,0.3728,0.6607,0.3982
25,58,29562,0.6637,0.3786,0.6649,0.4006
26,57,30913,0.7003,0.3951,0.7016,0.4161
27,56,31527,0.7080,0.4020,0.7093,0.4206
28,55,32912,0.7613,0.4265,0.7626,0.4553
29,54,33785,0.7819,0.4397,0.7831,0.4668
30,53,34817,0.8045,0.4540,0.8057,0.4835
31,52,35718,0.8330,0.4696,0.8340,0.4987
32,51,37567,0.8612,0.4899,0.8622,0.5162
33,50,38589,0.8895,0.5065,0.8905,0.5369
34,49,39012,0.9064,0.5190,0.9074,0.5521
35,48,40658,0.9284,0.5426,0.9294,0.5695
36,47,42064,0.9596,0.5677,0.9605,0.6147
37,46,43789,0.9680,0.5803,0.9689,0.6246
38,45,44945,0.9863,0.5960,0.9872,0.6407
39,44,46176,1.0041,0.6156,1.0051,0.6587
40,43,46947,1.0289,0.6295,1.0300,0.6850
41,42,47544,1.0368,0.6375,1.0379,0.6908
42,41,49224,1.0607,0.6592,1.0617,0.7149
43,40,50677,1.0827,0.6808,1.0836,0.7362
44,39,51101,1.0919,0.6906,1.0928,0.7421
45,38,52575,1.1051,0.7061,1.1059,0.7565
46,37,53712,1.1228,0.7236,1.1237,0.7720
47,36,54610,1.1421,0.7413,1.1431,0.7850
48,35,55033,1.1541,0.7474,1.1551,0.7966
49,34,56692,1.1774,0.7759,1.1782,0.8213
