image_id,total_3d_points_observed,triplet_shared_points
69,3286,3286
70,3130,3130
82,811,811
81,803,803
80,914,914
79,2736,2736
78,2612,2612
77,2871,2871
76,1589,1589
75,906,906
74,2778,2778
73,2684,2684
72,2473,2473
71,2271,2271
68,3131,3131
67,3118,3118
66,2980,2980
65,3067,3067
64,3067,3067
63,3068,3068
62,2725,2725
61,2769,2769
60,2994,2994
59,2810,2810
58,2576,2576
57,2281,2281
56,2508,2508
55,2296,2296
54,2252,2252
53,2490,2490
52,2080,2080
51,2578,2578
50,2181,2181
49,2097,2097
48,2641,2641
47,2533,2533
46,2622,2622
45,2703,2703
44,2411,2411
43,2026,2026
42,1852,1852
41,2332,2332
40,2516,2516
39,936,936
38,2000,2000
37,1424,1424
36,1034,1034
35,1345,1345
34,1659,1659
