registered_image_count,newest_image_id,total_3d_points,global_mean_px,global_median_px,point_mean_px,point_median_px
3,82,2219,0.0768,0.0535,0.0769,0.0530
4,81,2693,0.3874,0.2360,0.3878,0.1890
5,80,3092,0.6687,0.4226,0.6693,0.3966
6,79,3540,0.7730,0.4480,0.7740,0.4088
7,78,3590,0.7468,0.3741,0.7478,0.3685
8,77,5460,1.0550,0.5192,1.0554,0.5050
9,76,6379,1.1555,0.6037,1.1561,0.6842
10,75,6976,1.3524,0.7492,1.3534,0.8951
11,74,7906,1.2714,0.7269,1.2722,0.8207
12,73,9248,1.1915,0.6009,1.1922,0.6422
13,72,10969,1.1056,0.5255,1.1063,0.5357
14,71,12682,1.0172,0.4626,1.0179,0.4567
15,68,13898,0.9873,0.4557,0.9880,0.4463
16,67,15594,0.9648,0.4555,0.9657,0.4451
17,66,16911,0.9287,0.4351,0.9297,0.4282
18,65,18451,0.8946,0.4161,0.8955,0.4097
19,64,19735,0.8818,0.4152,0.8827,0.4094
20,63,21172,0.8691,0.4107,0.8700,0.4062
21,62,22659,0.8602,0.4117,0.8610,0.4040
22,61,23489,0.8712,0.4244,0.8720,0.4177
23,60,25359,0.8610,0.4267,0.8618,0.4209
24,59,26745,0.8616,0.4346,0.8623,0.4290
25,58,27332,0.8746,0.4431,0.8752,0.4372
26,57,28913,0.8867,0.4573,0.8874,0.4495
27,56,30276,0.8919,0.4629,0.8924,0.4555
28,55,31085,0.9022,0.4744,0.9028,0.4708
29,54,32750,0.9202,0.4997,0.9208,0.4996
30,53,33762,0.9263,0.5043,0.9269,0.5059
31,52,35195,0.9439,0.5263,0.9446,0.5351
32,51,36530,0.9582,0.5472,0.9588,0.5627
33,50,37347,0.9731,0.5634,0.9736,0.5742
34,49,38074,0.9894,0.5715,0.9899,0.5820
35,48,39060,1.0084,0.5876,1.0089,0.5967
36,47,40157,1.0281,0.6064,1.0286,0.6135
37,46,41371,1.0549,0.6325,1.0554,0.6446
38,45,42473,1.0701,0.6492,1.0707,0.6597
39,44,43814,1.0890,0.6690,1.0896,0.6827
40,43,44567,1.1033,0.6805,1.1039,0.6995
41,42,45665,1.1160,0.6971,1.1168,0.7175
42,41,45888,1.1245,0.7029,1.1252,0.7236
43,40,48209,1.1293,0.7075,1.1300,0.7272
44,39,49729,1.1345,0.7129,1.1353,0.7374
45,38,51524,1.1393,0.7226,1.1400,0.7460
46,37,52787,1.1517,0.7400,1.1525,0.7681
47,36,54221,1.1708,0.7673,1.1716,0.8011
48,35,55138,1.1787,0.7754,1.1795,0.8073
49,34,56060,1.1876,0.7867,1.1884,0.8164
50,33,58081,1.1993,0.8069,1.2002,0.8359
51,32,59115,1.2097,0.8202,1.2105,0.8502
52,31,59913,1.2168,0.8308,1.2176,0.8601
53,30,60705,1.2241,0.8400,1.2249,0.8690
54,29,60963,1.2273,0.8420,1.2281,0.8734
55,28,61689,1.2371,0.8524,1.2380,0.8840
56,27,62587,1.2435,0.8598,1.2444,0.8909
57,26,63046,1.2489,0.8662,1.2498,0.8983
58,25,63199,1.2517,0.8686,1.2526,0.9021
59,24,63303,1.2532,0.8712,1.2541,0.9038
60,23,63789,1.2565,0.8766,1.2574,0.9091
61,22,64705,1.2638,0.8858,1.2647,0.9167
62,21,65468,1.2717,0.8945,1.2726,0.9274
63,20,65938,1.2766,0.8995,1.2775,0.9328
64,19,66800,1.2853,0.9106,1.2861,0.9416
65,18,67648,1.2949,0.9200,1.2958,0.9507
66,17,68392,1.3091,0.9321,1.3100,0.9652
67,16,69633,1.3178,0.9468,1.3187,0.9769
68,15,71091,1.3252,0.9565,1.3261,0.9857
69,14,71630,1.3305,0.9635,1.3314,0.9927
70,13,72303,1.3396,0.9709,1.3405,1.0018
71,12,72927,1.3460,0.9824,1.3469,1.0121
72,11,73355,1.3499,0.9878,1.3508,1.0182
73,10,74714,1.3594,0.9965,1.3603,1.0281
74,9,75373,1.3641,1.0029,1.3650,1.0340
75,8,75933,1.3693,1.0099,1.3701,1.0411
76,7,76412,1.3770,1.0183,1.3779,1.0511
77,6,77344,1.3817,1.0253,1.3826,1.0575
78,5,78404,1.3892,1.0363,1.3900,1.0683
79,4,79467,1.3970,1.0496,1.3978,1.0785
80,3,79870,1.4003,1.0540,1.4011,1.0817
81,2,80679,1.4044,1.0620,1.4052,1.0892
82,1,81187,1.4081,1.0671,1.4089,1.0941
83,0,82144,1.4154,1.0769,1.4161,1.1024
