image_id,total_3d_points_observed,triplet_shared_points
69,3400,3400
70,3353,3353
82,1311,1311
81,1508,1508
80,1210,1210
79,1490,1490
78,1849,1849
77,1986,1986
76,1121,1121
75,805,805
74,2711,2711
73,2831,2831
72,2795,2795
71,2500,2500
68,2909,2909
67,3034,3034
66,2803,2803
65,2849,2849
64,2946,2946
63,2974,2974
62,2647,2647
61,2567,2567
60,2720,2720
59,2329,2329
58,2183,2183
57,2640,2640
56,2489,2489
55,2752,2752
54,2720,2720
53,2446,2446
52,2690,2690
51,2419,2419
50,2055,2055
49,1738,1738
48,2232,2232
47,2232,2232
46,2398,2398
45,2440,2440
44,2550,2550
43,2297,2297
42,2536,2536
41,2441,2441
40,3101,3101
39,2291,2291
38,2931,2931
37,2665,2665
36,2490,2490
35,2132,2132
34,2120,2120
33,2501,2501
32,1641,1641
31,1583,1583
30,1271,1271
29,1077,1077
28,1690,1690
27,1240,1240
26,672,672
25,1238,1238
24,1207,1207
23,775,775
22,1328,1328
21,1331,1331
20,1507,1507
19,2075,2075
18,1612,1612
17,1584,1584
16,2343,2343
15,2004,2004
14,1141,1141
13,1318,1318
12,1046,1046
11,1097,1097
10,1745,1745
9,1213,1213
8,1270,1270
7,1243,1243
6,1362,1362
5,1290,1290
4,1114,1114
3,841,841
2,1097,1097
1,721,721
0,957,957
