registered_image_count,newest_image_id,total_3d_points,global_mean_px,global_median_px,point_mean_px,point_median_px
3,71,2530,0.1281,0.0616,0.1281,0.0621
4,72,3306,0.2527,0.1071,0.2537,0.1009
5,73,5172,0.3350,0.2074,0.3358,0.2255
6,74,7118,0.4609,0.3193,0.4620,0.2472
7,68,8347,0.4613,0.2883,0.4627,0.2513
8,67,10000,0.4853,0.2865,0.4870,0.2512
9,66,10537,0.4946,0.2909,0.4962,0.2518
10,65,12529,0.4900,0.2868,0.4917,0.2513
11,64,13911,0.5019,0.2905,0.5034,0.2536
12,63,14431,0.5139,0.2973,0.5155,0.2564
13,62,15755,0.5533,0.3181,0.5548,0.2787
14,61,17526,0.5883,0.3386,0.5896,0.3030
15,60,19080,0.6125,0.3555,0.6139,0.3382
16,59,20478,0.6395,0.3685,0.6407,0.3560
17,58,21040,0.6488,0.3725,0.6499,0.3611
18,57,22688,0.6912,0.3899,0.6922,0.3793
19,56,23906,0.7270,0.4075,0.7279,0.4027
20,55,25157,0.7458,0.4239,0.7466,0.4234
21,54,25647,0.7625,0.4332,0.7632,0.4341
22,53,27273,0.7673,0.4367,0.7679,0.4387
23,2,27523,0.7782,0.4443,0.7789,0.4466
24,52,28614,0.8062,0.4654,0.8068,0.4695
25,51,29766,0.8304,0.4871,0.8308,0.4849
26,47,30514,0.8554,0.4999,0.8558,0.5037
27,78,30656,0.8859,0.5430,0.8865,0.5704
28,49,31775,0.9023,0.5540,0.9027,0.5826
29,50,32859,0.9249,0.5714,0.9254,0.5981
30,48,34371,0.9506,0.5940,0.9511,0.6148
31,46,35449,0.9597,0.6075,0.9602,0.6280
32,82,35676,0.9643,0.6111,0.9648,0.6305
33,44,36831,0.9850,0.6248,0.9856,0.6445
34,45,37375,1.0113,0.6424,1.0119,0.6712
35,43,38092,1.0167,0.6478,1.0173,0.6761
36,42,39173,1.0291,0.6622,1.0297,0.6854
37,41,40130,1.0346,0.6694,1.0352,0.6933
38,40,41729,1.0464,0.6812,1.0469,0.7023
39,39,42689,1.0542,0.6853,1.0547,0.7101
40,36,44256,1.0763,0.7037,1.0768,0.7223
41,38,46208,1.0848,0.7140,1.0853,0.7297
42,37,47076,1.0980,0.7260,1.0985,0.7405
43,33,48341,1.1053,0.7387,1.1058,0.7509
44,35,49677,1.1096,0.7447,1.1101,0.7554
45,34,50433,1.1229,0.7596,1.1234,0.7674
46,0,51154,1.1316,0.7690,1.1320,0.7739
47,1,51758,1.1400,0.7769,1.1405,0.7807
48,14,51936,1.1429,0.7792,1.1433,0.7818
49,3,53484,1.1566,0.7945,1.1570,0.7943
50,11,54098,1.1698,0.8084,1.1701,0.8073
51,80,54586,1.1754,0.8154,1.1758,0.8139
52,81,54872,1.1792,0.8195,1.1796,0.8166
53,7,55313,1.1857,0.8265,1.1861,0.8228
54,10,55968,1.1937,0.8339,1.1941,0.8292
55,32,56706,1.2002,0.8413,1.2006,0.8365
56,15,58007,1.2164,0.8585,1.2168,0.8546
57,13,59219,1.2320,0.8716,1.2323,0.8688
58,16,60899,1.2486,0.8970,1.2489,0.8904
59,17,61771,1.2576,0.9039,1.2580,0.8958
60,12,63253,1.2691,0.9160,1.2695,0.9097
61,9,64751,1.2885,0.9265,1.2889,0.9261
62,20,65731,1.2946,0.9370,1.2950,0.9373
63,18,66647,1.2987,0.9418,1.2991,0.9417
64,5,67486,1.3008,0.9521,1.3012,0.9460
65,19,69207,1.3145,0.9646,1.3148,0.9603
66,21,70020,1.3241,0.9751,1.3244,0.9738
67,22,70812,1.3309,0.9835,1.3312,0.9817
68,4,71820,1.3431,0.9975,1.3434,0.9980
69,8,72665,1.3501,1.0057,1.3503,1.0088
70,23,73652,1.3574,1.0144,1.3577,1.0169
71,25,74876,1.3638,1.0222,1.3641,1.0256
72,24,76073,1.3772,1.0404,1.3775,1.0466
73,79,76358,1.3790,1.0421,1.3793,1.0485
74,77,76635,1.3831,1.0458,1.3834,1.0544
74,26,76635,1.3831,1.0458,1.3834,1.0544
