image_id,total_3d_points_observed,triplet_shared_points
69,3357,3357
70,3300,3300
71,2814,2814
72,2538,2538
73,2310,2310
74,2264,2264
68,2922,2922
67,2863,2863
66,2529,2529
65,2921,2921
64,2773,2773
63,2677,2677
62,2560,2560
61,2772,2772
60,2616,2616
59,2382,2382
58,2230,2230
57,2684,2684
56,2533,2533
55,2533,2533
54,2446,2446
53,2412,2412
2,1727,1727
52,2479,2479
51,2039,2039
47,2198,2198
78,813,813
49,1958,1958
50,2387,2387
48,2412,2412
46,2138,2138
82,693,693
44,2466,2466
45,2062,2062
43,2400,2400
42,2379,2379
41,2379,2379
40,2765,2765
39,2158,2158
36,2336,2336
38,2658,2658
37,2214,2214
33,1975,1975
35,1730,1730
34,1387,1387
0,1400,1400
1,1514,1514
14,2653,2653
3,1791,1791
11,1396,1396
80,624,624
81,449,449
7,1470,1470
10,1898,1898
32,955,955
15,2693,2693
13,2490,2490
16,2457,2457
17,2200,2200
12,2302,2302
9,2103,2103
20,2556,2556
18,1777,1777
5,1064,1064
19,2368,2368
21,1886,1886
22,1733,1733
4,1190,1190
8,920,920
23,1399,1399
25,1517,1517
24,1192,1192
79,328,328
77,277,277
