registered_image_count,newest_image_id,total_3d_points,global_mean_px,global_median_px,point_mean_px,point_median_px
3,71,3111,0.2185,0.0707,0.2186,0.0818
4,72,4387,0.3668,0.2397,0.3673,0.1861
5,73,6038,0.3561,0.1983,0.3566,0.1654
6,74,7878,0.4202,0.2364,0.4208,0.1970
7,68,8845,0.4641,0.2590,0.4646,0.2201
8,67,10543,0.4949,0.2793,0.4957,0.2594
9,66,11670,0.4970,0.2757,0.4980,0.2568
10,65,13364,0.4829,0.2624,0.4841,0.2483
11,64,14692,0.4898,0.2627,0.4910,0.2476
12,63,16159,0.4916,0.2711,0.4929,0.2532
13,62,17374,0.5369,0.2842,0.5381,0.2686
14,61,18256,0.5418,0.2890,0.5430,0.2735
15,60,20405,0.5699,0.3027,0.5711,0.2867
16,59,21989,0.5816,0.3085,0.5828,0.2931
17,58,22513,0.5905,0.3111,0.5917,0.2963
18,57,23516,0.6432,0.3316,0.6445,0.3213
19,56,24991,0.6613,0.3377,0.6625,0.3261
20,54,25563,0.6971,0.3501,0.6982,0.3464
21,55,25959,0.7086,0.3512,0.7098,0.3387
21,25,25959,0.7086,0.3512,0.7098,0.3387
