registered_image_count,newest_image_id,total_3d_points,global_mean_px,global_median_px,point_mean_px,point_median_px
3,71,3072,0.1955,0.0721,0.1956,0.0800
4,72,3993,0.2581,0.0892,0.2591,0.0935
5,73,6000,0.2517,0.0918,0.2526,0.0843
6,74,7749,0.3443,0.1372,0.3450,0.1335
7,68,8834,0.3824,0.1602,0.3831,0.1602
8,67,10501,0.3985,0.1930,0.3996,0.1888
9,66,11730,0.4030,0.1928,0.4041,0.1864
10,65,13334,0.4115,0.1996,0.4128,0.1950
11,64,14607,0.4234,0.1978,0.4245,0.1930
12,63,16107,0.4494,0.2229,0.4507,0.2182
13,62,17414,0.4775,0.2333,0.4788,0.2247
14,61,18137,0.4939,0.2440,0.4952,0.2337
15,60,20125,0.5248,0.2675,0.5261,0.2654
16,59,21586,0.5472,0.2877,0.5485,0.2794
17,58,22719,0.5541,0.2923,0.5553,0.2819
18,78,22847,0.5585,0.2954,0.5597,0.2848
19,56,23778,0.5748,0.3042,0.5759,0.2992
20,57,25549,0.5887,0.3104,0.5899,0.3152
21,55,26648,0.6165,0.3250,0.6178,0.3293
22,53,27654,0.6397,0.3372,0.6410,0.3379
23,3,27920,0.6505,0.3412,0.6518,0.3421
24,54,29216,0.6722,0.3551,0.6734,0.3549
25,52,30592,0.6918,0.3712,0.6929,0.3695
26,48,31269,0.7112,0.3811,0.7123,0.3773
27,51,32449,0.7401,0.4006,0.7410,0.4042
28,50,34219,0.7675,0.4167,0.7684,0.4193
29,49,35789,0.7850,0.4342,0.7860,0.4361
30,46,37054,0.8067,0.4502,0.8077,0.4546
31,47,38339,0.8286,0.4652,0.8295,0.4758
32,45,39832,0.8505,0.4814,0.8513,0.4903
33,44,40535,0.8587,0.4887,0.8596,0.4966
34,42,42026,0.8697,0.4988,0.8706,0.5047
35,43,42819,0.8819,0.5066,0.8828,0.5134
36,41,44748,0.8846,0.5135,0.8855,0.5190
37,40,45807,0.8987,0.5252,0.8996,0.5281
38,39,47339,0.9234,0.5489,0.9242,0.5453
39,38,48730,0.9357,0.5616,0.9365,0.5637
40,37,49341,0.9444,0.5618,0.9454,0.5655
41,35,50811,0.9660,0.5794,0.9671,0.5833
42,36,51496,0.9746,0.5831,0.9757,0.5875
43,34,52885,0.9906,0.5949,0.9919,0.6022
44,33,54731,0.9943,0.5982,0.9954,0.6059
45,32,55453,0.9987,0.6026,0.9997,0.6102
46,2,56213,1.0204,0.6287,1.0214,0.6402
47,80,56449,1.0238,0.6321,1.0249,0.6436
48,1,57349,1.0359,0.6443,1.0369,0.6566
49,79,57777,1.0383,0.6460,1.0392,0.6582
50,82,58404,1.0493,0.6559,1.0503,0.6682
51,4,58858,1.0555,0.6608,1.0564,0.6722
52,81,59670,1.0683,0.6703,1.0694,0.6826
53,77,59886,1.0716,0.6731,1.0726,0.6892
54,0,60597,1.0821,0.6835,1.0831,0.6987
54,24,60597,1.0821,0.6835,1.0831,0.6987
