image_id,total_3d_points_observed,triplet_shared_points
69,3399,3399
70,3352,3352
71,3066,3066
72,2779,2779
73,2697,2697
74,2166,2166
68,2900,2900
67,3018,3018
66,2814,2814
65,2894,2894
64,2949,2949
63,3012,3012
62,2513,2513
61,2575,2575
60,2825,2825
59,2555,2555
58,2368,2368
78,621,621
56,2762,2762
57,2649,2649
55,2539,2539
53,2841,2841
3,1630,1630
54,2561,2561
52,2545,2545
48,2909,2909
51,2475,2475
50,2568,2568
49,2504,2504
46,2760,2760
47,2456,2456
45,2647,2647
44,2412,2412
42,2442,2442
43,2465,2465
41,2776,2776
40,2223,2223
39,2797,2797
38,2572,2572
37,1975,1975
35,2178,2178
36,1715,1715
34,1991,1991
33,2116,2116
32,752,752
2,1851,1851
80,994,994
1,1094,1094
79,750,750
82,1071,1071
4,500,500
81,863,863
77,224,224
0,711,711
